Domain,Competency Code,Competency Description,Micro-competency,Micro-competency Description
Animal Systems Career Framework,AS.01.01,"Evaluate the development and implications of animal origin,  domestication and distribution on production practices and the environment",AS.01.01.01.a,"Identify and summarize the origin,  significance,  distribution and domestication of different animal species."
Animal Systems Career Framework,AS.01.01,"Evaluate the development and implications of animal origin,  domestication and distribution on production practices and the environment",AS.01.01.01.b,Evaluate and describe characteristics of animals that developed in response to the animal's environment and led to their domestication.
Animal Systems Career Framework,AS.01.01,"Evaluate the development and implications of animal origin,  domestication and distribution on production practices and the environment",AS.01.01.01.c,Evaluate the implications of animal adaptations on production practices and the environment.
Animal Systems Career Framework,AS.01.01,"Evaluate the development and implications of animal origin,  domestication and distribution on production practices and the environment",AS.01.01.02.a,"Research and summarize major components of animal systems (e.g.  Livestock, companion animal,  etc.)."
Animal Systems Career Framework,AS.01.01,"Evaluate the development and implications of animal origin,  domestication and distribution on production practices and the environment",AS.01.01.02.b,"Describe the historical and scientific developments of different animal industries and summarize the products,  services and careers associated with each."
Animal Systems Career Framework,AS.01.01,"Evaluate the development and implications of animal origin,  domestication and distribution on production practices and the environment",AS.01.01.02.c,Predict trends and implications of future developments within different animal industries on production practices and the environment.
Animal Systems Career Framework,AS.01.02,Assess and select animal production methods for use in animal systems based upon their effectiveness and impacts,AS.01.02.01.a,"Identify and categorize terms and methods related to animal production (e.g.  Conventional,  humanely raised,   natural,  organic,  etc.)"
Animal Systems Career Framework,AS.01.02,Assess and select animal production methods for use in animal systems based upon their effectiveness and impacts,AS.01.02.01.b,"Analyze the impact of animal production methods on end product qualities (e.g.  Sustainability,  marketing,  labeling,  animal welfare,  etc.)."
Animal Systems Career Framework,AS.01.02,Assess and select animal production methods for use in animal systems based upon their effectiveness and impacts,AS.01.02.01.c,Evaluate the effectiveness of different production methods and defend the use of selected methods using data and evidence.
Animal Systems Career Framework,AS.01.02,Assess and select animal production methods for use in animal systems based upon their effectiveness and impacts,AS.01.02.02.a,"Research and examine marketing methods for animal products and services (e.g.  niche markets,  locally grown,  etc.)"
Animal Systems Career Framework,AS.01.02,Assess and select animal production methods for use in animal systems based upon their effectiveness and impacts,AS.01.02.02.b,Calculate costs of marketing versus predicted increases in sales.
Animal Systems Career Framework,AS.01.02,Assess and select animal production methods for use in animal systems based upon their effectiveness and impacts,AS.01.02.02.c,Devise and evaluate marketing plans for an animal agriculture product or service.
Animal Systems Career Framework,AS.01.03,Analyze and apply laws and sustainable practices to animal agriculture from a global perspective,AS.01.03.02.a,Research and summarize sustainability in animal systems.
Animal Systems Career Framework,AS.01.03,Analyze and apply laws and sustainable practices to animal agriculture from a global perspective,AS.01.03.02.b,Analyze the local and global impact of sustainable animal agriculture practices on human and environmental systems.
Animal Systems Career Framework,AS.01.03,Analyze and apply laws and sustainable practices to animal agriculture from a global perspective,AS.01.03.02.c,"Select, evaluate and defend the use of sustainable practices in animal agriculture."
Animal Systems Career Framework,AS.02.01,Demonstrate management techniques that ensure animal welfare,AS.02.01.01.a,Explain the implications of animal welfare and animal rights for animal systems.
Animal Systems Career Framework,AS.02.01,Demonstrate management techniques that ensure animal welfare,AS.02.01.01.b,Design programs that assure the welfare of animals and prevent abuse or mistreatment.
